Provincia,Area_Total_km2,Total_Pixels,Agua_km2,Agua_pct,Bosques_km2,Bosques_pct,Pastizales_km2,Pastizales_pct,Matorrales_km2,Matorrales_pct,Suelo Desnudo_km2,Suelo Desnudo_pct,Nieve y Hielo_km2,Nieve y Hielo_pct,Áreas Urbanas_km2,Áreas Urbanas_pct,Vegetación Inundable_km2,Vegetación Inundable_pct,Tierras de Cultivo_km2,Tierras de Cultivo_pct
Provincia_0,158.18,262892,2.06,1.3,1.41,0.89,0.09,0.06,2.2,1.39,0.19,0.12,0.0,0.0,151.18,95.57,0.2,0.13,0.85,0.54
Provincia_1,60571.91,100669404,90.1,0.15,13682.2,22.59,549.22,0.91,7823.29,12.92,1039.33,1.72,47.61,0.08,265.65,0.44,21199.7,35.0,15874.8,26.21
Provincia_2,103106.19,171360602,2795.01,2.71,21320.3,20.68,2646.76,2.57,23040.67,22.35,154.86,0.15,0.38,0.0,1115.59,1.08,4577.74,4.44,47454.87,46.03
Provincia_3,16884.86,28062325,142.98,0.85,6814.85,40.36,79.8,0.47,1106.81,6.56,1044.37,6.19,2.07,0.01,484.82,2.87,1344.27,7.96,5864.89,34.73
Provincia_4,120589.41,200417396,2259.24,1.87,2800.43,2.32,201.54,0.17,476.83,0.4,45747.29,37.94,1461.86,1.21,1290.23,1.07,60129.49,49.86,6222.48,5.16
Provincia_5,38714.09,64342108,709.55,1.83,7588.54,19.6,49.22,0.13,445.82,1.15,25544.2,65.98,47.77,0.12,282.14,0.73,1537.79,3.97,2509.06,6.48
Provincia_6,103321.71,171718798,507.13,0.49,61471.95,59.5,635.24,0.61,3207.38,3.1,2791.94,2.7,12.06,0.01,554.81,0.54,7889.66,7.64,26251.54,25.41
Provincia_7,129835.81,215784747,3158.38,2.43,20510.18,15.8,995.89,0.77,8777.52,6.76,3698.0,2.85,9.56,0.01,1631.26,1.26,11735.66,9.04,79319.37,61.09
Provincia_8,119871.86,199224851,774.29,0.65,14604.76,12.18,448.99,0.37,6187.21,5.16,3393.64,2.83,180.44,0.15,350.57,0.29,62961.2,52.52,30970.77,25.84
Provincia_9,74326.81,123529801,314.31,0.42,48419.95,65.14,399.34,0.54,7103.4,9.56,14.28,0.02,0.04,0.0,396.5,0.53,3432.19,4.62,14246.8,19.17
Provincia_10,55399.17,92072407,291.34,0.53,40423.13,72.97,410.51,0.74,7177.2,12.96,43.25,0.08,0.01,0.0,210.95,0.38,4377.19,7.9,2465.6,4.45
Provincia_11,242691.59,403348996,6028.49,2.48,1319.39,0.54,562.61,0.23,2158.08,0.89,95737.39,39.45,18685.52,7.7,3533.65,1.46,66315.68,27.33,48350.77,19.92
Provincia_12,206554.48,343289769,1651.76,0.8,8386.45,4.06,384.62,0.19,1031.76,0.5,111549.35,54.0,2083.16,1.01,1998.06,0.97,63723.7,30.85,15745.61,7.62
Provincia_13,68813.66,114367043,4522.37,6.57,454.46,0.66,25.55,0.04,15.67,0.02,47884.65,69.59,70.67,0.1,575.39,0.84,13602.46,19.77,1662.45,2.42
Provincia_14,177142.69,294407921,1370.48,0.77,4871.49,2.75,135.68,0.08,403.26,0.23,52891.26,29.86,590.15,0.33,1319.7,0.74,101435.77,57.26,14124.9,7.97
Provincia_15,22393.63,37217804,342.45,1.53,18384.51,82.1,40.52,0.18,1850.52,8.26,0.93,0.0,0.04,0.0,462.19,2.06,120.26,0.54,1192.21,5.32
Provincia_16,80540.08,133856135,2267.74,2.82,7952.31,9.87,108.33,0.13,563.62,0.7,42887.38,53.25,1250.97,1.55,843.72,1.05,21992.14,27.31,2673.87,3.32
Provincia_17,70196.69,116665625,1947.41,2.77,13346.29,19.01,178.21,0.25,84.56,0.12,20588.79,29.33,142.65,0.2,415.61,0.59,31973.23,45.55,1519.96,2.17
Provincia_18,76155.11,126568396,4170.81,5.48,10273.28,13.49,140.27,0.18,958.12,1.26,45401.6,59.62,216.87,0.28,532.11,0.7,11908.32,15.64,2553.73,3.35
Provincia_19,113903.92,189306235,1580.2,1.39,54618.24,47.95,244.31,0.21,1693.0,1.49,32166.95,28.24,64.77,0.06,636.09,0.56,8408.06,7.38,14492.3,12.72
Provincia_20,253965.22,422085557,3595.5,1.42,10862.04,4.28,3091.74,1.22,91091.72,35.87,1307.45,0.51,2.92,0.0,4445.75,1.75,9396.81,3.7,130171.29,51.26
Provincia_21,21263.69,35339862,1123.54,5.28,5137.32,24.16,510.87,2.4,3259.4,15.33,847.26,3.98,3948.31,18.57,316.05,1.49,5892.04,27.71,228.9,1.08
Provincia_22,61058.17,101477572,2159.71,3.54,19308.42,31.62,1948.73,3.19,18570.0,30.41,13.48,0.02,0.33,0.0,584.61,0.96,650.68,1.07,17822.22,29.19
Provincia_23,67373.65,111973780,2322.22,3.45,29420.89,43.67,1138.37,1.69,31688.16,47.03,42.49,0.06,0.17,0.0,366.91,0.54,692.22,1.03,1702.22,2.53
